,hhid,year,month,kwh,t
287,890,2014,11,0.597226713,23
288,890,2014,12,0.614331272,24
289,898,2013,1,0.27477612,1
290,898,2013,2,0.223079142,2
291,898,2013,3,0.243796909,3
292,898,2013,4,0.196532616,4
293,898,2013,5,0.292364516,5
294,898,2013,6,0.579785278,6
295,898,2013,7,0.612677195,7
296,898,2013,8,0.715580018,8
297,898,2013,9,0.574396968,9
298,898,2013,10,0.303124798,10
299,898,2013,11,0.239570671,11
300,898,2013,12,0.269828069,12
301,898,2014,1,0.304670094,13
302,898,2014,2,0.300518477,14
303,898,2014,3,0.241173746,15
304,898,2014,4,0.253230972,16
305,898,2014,5,0.403730376,17
306,898,2014,6,0.705635602,18
307,898,2014,7,0.767407258,19
308,898,2014,8,0.882329279,20
309,898,2014,9,0.602931157,21
310,898,2014,10,0.373375717,22
311,898,2014,11,0.283968148,23
312,898,2014,12,0.386350605,24
313,1103,2013,1,0.392393324,1
314,1103,2013,2,0.363542783,2
315,1103,2013,3,0.34444776,3
316,1103,2013,4,0.341344769,4
317,1103,2013,5,0.469349686,5
318,1103,2013,6,1.034858542,6
319,1103,2013,7,1.017408356,7
320,1103,2013,8,1.13798237,8
321,1103,2013,9,0.647291481,9
322,1103,2013,10,0.487391756,10
323,1103,2013,11,0.276688032,11
324,1103,2013,12,0.369554794,12
325,1103,2014,1,0.398227957,13
326,1103,2014,2,0.364957217,14
327,1103,2014,3,0.35355168,15
328,1103,2014,4,0.389171111,16
329,1103,2014,5,0.499377957,17
330,1103,2014,6,0.831531065,18
331,1103,2014,7,1.01870401,19
332,1103,2014,8,1.36170914,20
333,1103,2014,9,0.817515995,21
334,1103,2014,10,0.489303338,22
335,1103,2014,11,0.353738681,23
336,1103,2014,12,0.344633916,24
337,1153,2013,1,1.352701703,1
338,1153,2013,2,1.189096751,2
339,1153,2013,3,1.292195878,3
340,1153,2013,4,1.380720741,4
341,1153,2013,5,1.501989225,5
342,1153,2013,6,2.270617407,6
343,1153,2013,7,2.661615547,7
344,1153,2013,8,3.164814494,8
345,1153,2013,9,2.655128611,9
346,1153,2013,10,1.850834229,10
347,1153,2013,11,1.381973449,11
348,1153,2013,12,1.170897133,12
349,1153,2014,1,1.227735842,13
350,1153,2014,2,1.197986607,14
351,1153,2014,3,1.171793548,15
352,1153,2014,4,1.600935486,16
353,1153,2014,5,1.910112164,17
354,1153,2014,6,2.866496366,18
355,1153,2014,7,2.95362211,19
356,1153,2014,8,3.056672984,20
357,1153,2014,9,2.652470602,21
358,1153,2014,10,2.093663889,22
359,1153,2014,11,0.99112037,23
360,1153,2014,12,0.981963799,24
361,1283,2013,1,1.16947388,1
362,1283,2013,2,1.261738542,2
363,1283,2013,3,1.075806138,3
364,1283,2013,4,0.970263519,4
365,1283,2013,5,1.455114919,5
366,1283,2013,6,1.548454306,6
367,1283,2013,7,1.807424978,7
368,1283,2013,8,2.782400582,8
369,1283,2013,9,2.280586991,9
370,1283,2013,10,1.54884422,10
371,1283,2013,11,1.064355255,11
372,1283,2013,12,1.087903271,12
373,1283,2014,1,1.080667496,13
374,1283,2014,2,1.118646627,14
375,1283,2014,3,1.046923499,15
376,1283,2014,4,0.907848819,16
377,1283,2014,5,1.207499373,17
378,1283,2014,6,1.387659005,18
379,1283,2014,7,2.250508557,19
380,1283,2014,8,2.83507789,20
381,1283,2014,9,2.103927662,21
382,1283,2014,10,1.55543004,22
383,1283,2014,11,0.990088218,23
384,1283,2014,12,0.935437858,24
385,1508,2013,1,1.002593436,1
386,1508,2013,2,0.79963874,2
387,1508,2013,3,0.887185484,3
388,1508,2013,4,0.942109352,4
389,1508,2013,5,1.611665883,5
390,1508,2013,6,2.293450648,6
391,1508,2013,7,2.698494624,7
392,1508,2013,8,2.808415591,8
393,1508,2013,9,2.674970718,9
394,1508,2013,10,1.462217339,10
395,1508,2013,11,0.982923588,11
396,1508,2013,12,1.12446185,12
397,1508,2014,1,1.34590513,13
398,1508,2014,2,1.323495313,14
399,1508,2014,3,1.528180712,15
400,1508,2014,4,1.509548495,16
401,1508,2014,5,1.892445565,17
402,1508,2014,6,2.562682546,18
403,1508,2014,7,2.649345251,19
404,1508,2014,8,3.016532146,20
405,1508,2014,9,1.919386319,21
406,1508,2014,10,1.444331452,22
407,1508,2014,11,0.827034722,23
408,1508,2014,12,1.037985887,24
409,1718,2013,1,1.081668369,1
410,1718,2013,2,0.977860367,2
411,1718,2013,3,1.032017899,3
412,1718,2013,4,1.166594375,4
413,1718,2013,5,1.605969758,5
414,1718,2013,6,2.372401435,6
415,1718,2013,7,2.418850179,7
416,1718,2013,8,2.725478584,8
417,1718,2013,9,2.363143032,9
418,1718,2013,10,1.570208759,10
419,1718,2013,11,1.181930301,11
420,1718,2013,12,1.247749485,12
421,1718,2014,1,1.065308065,13
422,1718,2014,2,1.068983259,14
423,1718,2014,3,1.000259812,15
424,1718,2014,4,1.245894977,16
425,1718,2014,5,1.509145072,17
426,1718,2014,6,2.30598331,18
427,1718,2014,7,2.468869265,19
428,1718,2014,8,2.746623566,20
429,1718,2014,9,2.237593449,21
430,1718,2014,10,1.830433154,22
431,1718,2014,11,1.050735324,23
432,1718,2014,12,1.435037231,24
433,1792,2013,1,0.681835618,1
434,1792,2013,2,0.611023016,2
435,1792,2013,3,0.547535439,3
436,1792,2013,4,0.666820069,4
437,1792,2013,5,1.07393237,5
438,1792,2013,6,1.687511829,6
439,1792,2013,7,1.018458401,7
440,1792,2013,8,1.577268884,8
441,1792,2013,9,1.340891806,9
442,1792,2013,10,0.716699955,10
443,1792,2013,11,0.635007963,11
444,1792,2013,12,0.733162634,12
445,1792,2014,1,0.875143795,13
446,1792,2014,2,0.781989137,14
447,1792,2014,3,0.575578203,15
448,1792,2014,4,0.755269815,16
449,1792,2014,5,1.243664158,17
450,1792,2014,6,1.671450949,18
451,1792,2014,7,1.206119937,19
452,1792,2014,8,1.778251389,20
453,1792,2014,9,1.447360162,21
454,1792,2014,10,1.243394108,22
455,1792,2014,11,1.087229028,23
456,1792,2014,12,0.696418033,24
457,1953,2013,1,0.530490815,1
458,1953,2013,2,0.483682068,2
459,1953,2013,3,0.406289539,3
460,1953,2013,4,0.454076366,4
461,1953,2013,5,0.567364897,5
462,1953,2013,6,1.542171806,6
463,1953,2013,7,1.497549866,7
464,1953,2013,8,1.609827151,8
465,1953,2013,9,1.094498009,9
466,1953,2013,10,0.538371057,10
467,1953,2013,11,0.50810794,11
468,1953,2013,12,0.718667585,12
469,1953,2014,1,0.596120094,13
470,1953,2014,2,0.573352728,14
471,1953,2014,3,0.457783311,15
472,1953,2014,4,0.51791,16
473,1953,2014,5,0.58032724,17
474,1953,2014,6,1.184770602,18
475,1953,2014,7,1.133650179,19
476,1953,2014,8,1.622193078,20
477,1953,2014,9,1.077191366,21
478,1953,2014,10,0.654613777,22
479,1953,2014,11,0.566413287,23
480,1953,2014,12,0.731732392,24
481,2072,2013,1,0.851613486,1
482,2072,2013,2,0.753963542,2
483,2072,2013,3,0.86694711,3
484,2072,2013,4,0.888385301,4
485,2072,2013,5,1.428290703,5
486,2072,2013,6,2.596656204,6
487,2072,2013,7,2.67906922,7
488,2072,2013,8,2.703158781,8
489,2072,2013,9,2.550449815,9
490,2072,2013,10,1.525490502,10
491,2072,2013,11,1.259122292,11
492,2072,2013,12,1.125080824,12
493,2072,2014,1,0.873383468,13
494,2072,2014,2,0.949391617,14
495,2072,2014,3,1.197056541,15
496,2072,2014,4,1.595368495,16
497,2072,2014,5,1.878299238,17
498,2072,2014,6,2.667152731,18
499,2072,2014,7,2.762866039,19
500,2072,2014,8,2.43760681,20
501,2072,2014,9,1.867464745,21
502,2072,2014,10,1.382840927,22
503,2072,2014,11,0.748224028,23
504,2072,2014,12,0.754155668,24
505,2158,2013,1,0.981709789,1
506,2158,2013,2,0.950281027,2
507,2158,2013,3,1.045213262,3
508,2158,2013,4,1.215626968,4
509,2158,2013,5,1.593449104,5
510,2158,2013,6,2.184723889,6
511,2158,2013,7,2.078495923,7
512,2158,2013,8,2.302982146,8
513,2158,2013,9,1.987138449,9
514,2158,2013,10,1.335441129,10
515,2158,2013,11,0.997884884,11
516,2158,2013,12,1.012990883,12
517,2158,2014,1,0.827336402,13
518,2158,2014,2,0.859311706,14
519,2158,2014,3,0.958017025,15
520,2158,2014,4,1.312691551,16
521,2158,2014,5,1.648033244,17
522,2158,2014,6,2.115166829,18
523,2158,2014,7,2.256445228,19
524,2158,2014,8,2.414321237,20
525,2158,2014,9,1.954294282,21
526,2158,2014,10,1.532190054,22
527,2158,2014,11,1.000240694,23
528,2158,2014,12,0.837666801,24
529,2199,2013,1,0.432329525,1
530,2199,2013,2,0.350394593,2
531,2199,2013,3,0.452457236,3
532,2199,2013,4,0.460925231,4
533,2199,2013,5,0.60815112,5
534,2199,2013,6,0.902101736,6
535,2199,2013,7,0.910973678,7
536,2199,2013,8,0.943941515,8
537,2199,2013,9,0.837509167,9
538,2199,2013,10,0.522508378,10
539,2199,2013,11,0.382183449,11
540,2199,2013,12,0.432178069,12
541,2199,2014,1,0.427453607,13
542,2199,2014,2,0.412366995,14
543,2199,2014,3,0.358130137,15
544,2199,2014,4,0.398249606,16
545,2199,2014,5,0.439350986,17
546,2199,2014,6,0.629959676,18
547,2199,2014,7,0.674169467,19
548,2199,2014,8,0.799003517,20
549,2199,2014,9,0.643560347,21
550,2199,2014,10,0.451206295,22
551,2199,2014,11,0.415587593,23
552,2199,2014,12,0.320734341,24
553,2233,2013,1,0.577968212,1
554,2233,2013,2,0.528909325,2
555,2233,2013,3,0.556306944,3
556,2233,2013,4,0.570426944,4
557,2233,2013,5,0.920292204,5
558,2233,2013,6,1.697240602,6
559,2233,2013,7,1.818779435,7
560,2233,2013,8,2.009970789,8
561,2233,2013,9,1.508193565,9
562,2233,2013,10,0.947246774,10
563,2233,2013,11,0.698332731,11
564,2233,2013,12,0.780073902,12
565,2233,2014,1,0.666703114,13
566,2233,2014,2,0.60670124,14
567,2233,2014,3,0.64474935,15
568,2233,2014,4,0.841501065,16
569,2233,2014,5,1.219112209,17
570,2233,2014,6,1.742318403,18
571,2233,2014,7,2.233734297,19
572,2233,2014,8,2.353961626,20
573,2233,2014,9,1.849730625,21
574,2233,2014,10,1.202588306,22
575,2233,2014,11,0.916771412,23
576,2233,2014,12,0.848289606,24
577,2242,2013,1,1.737181183,1
578,2242,2013,2,1.272030928,2
579,2242,2013,3,1.491252419,3
580,2242,2013,4,1.579647407,4
581,2242,2013,5,2.32415457,5
582,2242,2013,6,3.76419169,6
583,2242,2013,7,3.69304608,7
584,2242,2013,8,3.834815927,8
585,2242,2013,9,2.95733838,9
586,2242,2013,10,1.694564158,10
587,2242,2013,11,1.551363773,11
588,2242,2013,12,2.00502043,12
589,2242,2014,1,1.610477464,13
590,2242,2014,2,1.31921689,14
591,2242,2014,3,1.254490345,15
592,2242,2014,4,1.427774884,16
593,2242,2014,5,2.070723387,17
594,2242,2014,6,3.219490787,18
595,2242,2014,7,3.479260618,19
596,2242,2014,8,3.381870721,20
597,2242,2014,9,2.51369794,21
598,2242,2014,10,1.71061203,22
599,2242,2014,11,1.290904213,23
600,2242,2014,12,1.738827643,24
601,2337,2013,1,0.305677711,1
602,2337,2013,2,0.277991443,2
603,2337,2013,3,0.310746192,3
604,2337,2013,4,0.28436956,4
605,2337,2013,5,0.437780376,5
606,2337,2013,6,0.901748958,6
607,2337,2013,7,0.985526747,7
608,2337,2013,8,1.170860797,8
609,2337,2013,9,0.969321713,9
610,2337,2013,10,0.498417563,10
611,2337,2013,11,0.493692917,11
612,2337,2013,12,1.203060887,12
613,2337,2014,1,1.739213105,13
614,2337,2014,2,1.174068775,14
615,2337,2014,3,0.531243862,15
616,2337,2014,4,0.377856806,16
617,2337,2014,5,0.521359297,17
618,2337,2014,6,0.816543958,18
619,2337,2014,7,1.035992025,19
620,2337,2014,8,1.174197513,20
621,2337,2014,9,0.892803773,21
622,2337,2014,10,0.633236089,22
623,2337,2014,11,0.378277269,23
624,2337,2014,12,0.382951815,24
625,2449,2013,1,0.439411738,1
626,2449,2013,2,1.148838368,2
627,2449,2013,3,1.048972289,3
628,2449,2013,4,0.9787975,4
629,2449,2013,5,1.106455242,5
630,2449,2013,6,1.072195046,6
631,2449,2013,7,1.382517249,7
632,2449,2013,8,1.470998634,8
633,2449,2013,9,1.074380532,9
634,2449,2013,10,0.880582056,10
635,2449,2013,11,0.710827431,11
636,2449,2013,12,0.816824597,12
637,2449,2014,1,0.851715995,13
638,2449,2014,2,0.625960789,14
