custid,yearmonthid,kwh
45,200909,111
45,200910,110
45,200911,116
45,200912,122
45,201001,131
45,201002,132
45,201003,116
45,201004,114
45,201005,118
45,201006,115
45,201007,126
46,200808,305
46,200809,351
46,200810,350
46,200811,337
46,200812,609
46,200901,715
46,200902,571
46,200903,676
46,200904,517
46,200905,432
46,200906,383
46,200907,481
46,200908,482
46,200909,621
46,200910,493
46,200911,508
46,200912,613
46,201001,689
46,201002,614
46,201003,562
46,201004,380
46,201005,450
46,201006,446
46,201007,502
47,200808,2605
47,200809,2948
47,200810,1974
47,200811,4219
47,200812,6334
47,200901,12075
47,200902,10571
47,200903,15826
47,200904,4340
47,200905,2737
47,200906,2737
47,200907,2282
47,200908,2171
47,200909,2441
47,200910,2221
47,200911,4298
47,200912,5216
47,201001,9772
47,201002,9536
47,201003,7824
47,201004,4726
47,201005,3102
47,201006,2953
47,201007,2203
48,200808,593
48,200809,505
48,200810,497
48,200811,577
48,200812,902
48,200901,1313
48,200902,1101
48,200903,758
48,200904,589
48,200905,581
48,200906,498
48,200907,574
48,200908,602
48,200909,585
48,200910,578
48,200911,484
48,200912,505
48,201001,1140
48,201002,988
48,201003,664
48,201004,516
48,201005,453
48,201006,394
48,201007,531
49,200808,770
49,200809,779
49,200810,478
49,200811,352
49,200812,483
49,200901,486
49,200902,414
49,200903,406
49,200904,351
49,200905,340
49,200906,297
49,200907,672
49,200908,841
49,200909,663
49,200910,505
49,200911,368
49,200912,431
49,201001,460
49,201002,417
49,201003,406
49,201004,337
49,201005,319
49,201006,301
49,201007,651
50,200808,367
50,200809,364
50,200810,338
50,200811,376
50,200812,350
50,200901,453
50,200902,337
50,200903,708
50,200904,298
50,200905,331
50,200906,331
50,200907,285
50,200908,257
50,200909,271
50,200910,238
50,200911,353
50,200912,330
50,201001,444
50,201002,396
50,201003,325
50,201004,304
50,201005,269
50,201006,251
50,201007,228
51,200808,531
51,200809,514
51,200810,424
51,200811,939
51,200812,1449
51,200901,1386
51,200902,1286
51,200903,546
51,200904,496
51,200905,570
51,200906,436
51,200907,561
51,200908,475
51,200909,496
51,200910,455
51,200911,496
51,200912,570
51,201001,640
